"'"	(('POS', 0.8198), ("''", 0.1762), (':', 0.004))
'patchwork'	(('NN', 0.5), ('JJ', 0.5))
'patel'	(('NNP', 1.0),)
'patent'	(('NN', 0.8511), ('NNP', 0.1064), ('JJ', 0.0426))
'patent-infringement'	(('NN', 1.0),)
'patent-law'	(('NN', 1.0),)
'patented'	(('VBN', 0.5), ('JJ', 0.25), ('VBD', 0.25))
'patents'	(('NNS', 1.0),)
'paterson'	(('NNP', 1.0),)
'path'	(('NN', 1.0),)
'pathe'	(('NNP', 1.0),)
'pathetic'	(('JJ', 1.0),)
'pathologically'	(('RB', 1.0),)
'paths'	(('NNS', 1.0),)
'patience'	(('NN', 1.0),)
'patient'	(('NN', 0.6471), ('JJ', 0.3529))
'patient-advocacy'	(('NN', 1.0),)
'patient-physician'	(('JJ', 1.0),)
'patients'	(('NNS', 0.9583), ('NNPS', 0.0417))
'patman'	(('NNP', 1.0),)
'patois'	(('NNP', 1.0),)
'patriarca'	(('NNP', 1.0),)
'patriarch'	(('NN', 1.0),)
'patriarchal'	(('JJ', 1.0),)
'patriarchy'	(('NN', 1.0),)
'patricelli'	(('NNP', 1.0),)
'patricia'	(('NNP', 1.0),)
'patrician'	(('NN', 1.0),)
'patrick'	(('NNP', 1.0),)
'patricof'	(('NNP', 1.0),)
'patriot'	(('NN', 1.0),)
'patriotic'	(('JJ', 1.0),)
'patriotism'	(('NN', 1.0),)
'patriots'	(('NNPS', 1.0),)
'patrol'	(('NN', 0.75), ('NNP', 0.25))
'patrolled'	(('VBN', 1.0),)
'patrolling'	(('NN', 1.0),)
'patrols'	(('NNS', 1.0),)
'patron'	(('NN', 1.0),)
'patronage'	(('NN', 1.0),)
'patronize'	(('VB', 1.0),)
'patronized'	(('VBN', 1.0),)
'patronizing'	(('JJ', 0.5), ('VBG', 0.5))
'patrons'	(('NNS', 1.0),)
'patsy'	(('NNP', 1.0),)
'patter'	(('NN', 1.0),)
'pattern'	(('NN', 1.0),)
'patterned'	(('VBN', 1.0),)
'patterns'	(('NNS', 1.0),)
'patterson'	(('NNP', 1.0),)
'pattison'	(('NNP', 1.0),)
'patty'	(('NNP', 1.0),)
'paul'	(('NNP', 1.0),)
'pauline'	(('NNP', 1.0),)
'paulo'	(('NNP', 1.0),)
'pauper'	(('NN', 1.0),)
'pause'	(('NN', 0.6667), ('VBP', 0.3333))
'paused'	(('VBD', 1.0),)
'pauses'	(('VBZ', 1.0),)
'pausing'	(('VBG', 1.0),)
'pautsch'	(('NNP', 1.0),)
'pave'	(('VB', 1.0),)
'paved'	(('JJ', 0.5), ('VBD', 0.25), ('VBN', 0.25))
'pavel'	(('NNP', 1.0),)
'pawing'	(('VBG', 1.0),)
'pawlowski'	(('NNP', 1.0),)
'pawn'	(('NN', 1.0),)
'pawning'	(('VBG', 1.0),)
'pawns'	(('NNS', 1.0),)
'pawtucket'	(('NNP', 1.0),)
'paxus'	(('NNP', 0.8), ('NN', 0.2))
'pay'	(('VB', 0.7753), ('NN', 0.137), ('VBP', 0.0849), ('NNP', 0.0027))
'pay-and-benefit'	(('JJ', 1.0),)
'pay-as-you-go'	(('JJ', 1.0),)
'pay-cable'	(('NN', 1.0),)
'pay-in-kind'	(('JJ', 1.0),)
'pay-movie'	(('JJ', 1.0),)
'pay-per-view'	(('JJ', 1.0),)
'pay-television'	(('NN', 1.0),)
'pay-tv'	(('NN', 1.0),)
'payable'	(('JJ', 1.0),)
'payables'	(('NNS', 1.0),)
'paycheck'	(('NN', 1.0),)
'paychecks'	(('NNS', 1.0),)
'payco'	(('NNP', 1.0),)
'payer'	(('NN', 1.0),)
'payers'	(('NNS', 1.0),)
'paying'	(('VBG', 0.9881), ('JJ', 0.0119))
'payment'	(('NN', 1.0),)
'payments'	(('NNS', 1.0),)
'payne'	(('NNP', 1.0),)
'payoff'	(('NN', 1.0),)
'payola'	(('NN', 1.0),)
'payout'	(('NN', 1.0),)
'payouts'	(('NNS', 1.0),)
'payroll'	(('NN', 0.8824), ('NNP', 0.1176))
'payroll-tax'	(('NN', 1.0),)
'payrolls'	(('NNS', 1.0),)
'pays'	(('VBZ', 1.0),)
'payson'	(('NNP', 1.0),)
'pbs'	(('NNP', 1.0),)
'pc'	(('NN', 0.8667), ('NNP', 0.1333))
'pc-magazine'	(('JJ', 1.0),)
'pcbs'	(('NNS', 1.0),)
'pcs'	(('NNS', 1.0),)
'pdt'	(('NNP', 1.0),)
'pea'	(('NN', 1.0),)
'peabody'	(('NNP', 1.0),)
'peace'	(('NN', 0.9355), ('NNP', 0.0645))
'peace-keeping'	(('NN', 0.5), ('JJ', 0.5))
'peaceful'	(('JJ', 1.0),)
'peacefully'	(('RB', 1.0),)
'peacemaker'	(('NN', 1.0),)
'peacemakers'	(('NNS', 1.0),)
'peacetime'	(('NN', 1.0),)
'peaches'	(('NNS', 1.0),)
'peak'	(('NN', 0.7273), ('JJ', 0.1818), ('VB', 0.0455), ('NNP', 0.0455))
'peake'	(('NNP', 1.0),)
'peaked'	(('VBD', 0.4), ('VBN', 0.4), ('JJ', 0.2))
'peaking'	(('VBG', 1.0),)
'peaks'	(('NNS', 1.0),)
'peanut'	(('NN', 1.0),)
'peanuts'	(('NNS', 0.5714), ('NNP', 0.4286))
'pearce'	(('NNP', 1.0),)
'pearl'	(('NNP', 1.0),)
'pearls'	(('NNS', 1.0),)
'pears'	(('NNS', 1.0),)
'pearson'	(('NNP', 1.0),)
'peas'	(('NNS', 1.0),)
'peasant'	(('NN', 0.7143), ('NNP', 0.2857))
'peasants'	(('NNPS', 0.4286), ('NNS', 0.4286), ('NNP', 0.1429))
'peat'	(('NNP', 1.0),)
'peccadilloes'	(('NNS', 1.0),)
'pechiney'	(('NNP', 1.0),)
'peck'	(('NNP', 0.9231), ('VBP', 0.0769))
'pecks'	(('NNS', 1.0),)
'peculiar'	(('JJ', 1.0),)
'peculiarities'	(('NNS', 1.0),)
'pedagogue'	(('NN', 1.0),)
'pedal'	(('VB', 1.0),)
'pedaled'	(('VBN', 1.0),)
'pedaling'	(('VBG', 1.0),)
'peddle'	(('VB', 1.0),)
'peddled'	(('VBN', 1.0),)
'peddler'	(('NN', 1.0),)
'peddles'	(('VBZ', 1.0),)
'peddling'	(('VBG', 0.7143), ('NN', 0.1429), ('JJ', 0.1429))
'pedersen'	(('NNP', 1.0),)
'pederson'	(('NNP', 1.0),)
'pedestrian'	(('NN', 0.5), ('JJ', 0.5))
'pedestrians'	(('NNS', 1.0),)
'pediatric'	(('JJ', 0.8333), ('NNP', 0.1667))
'pediatrician'	(('NN', 1.0),)
'pedigrees'	(('NNS', 1.0),)
'pedone'	(('NNP', 1.0),)
'pedro'	(('NNP', 1.0),)
'pedroli'	(('NNP', 1.0),)
'peduzzi'	(('NNP', 1.0),)
'pee'	(('NNP', 1.0),)
'peebles'	(('NNP', 1.0),)
'peek'	(('NN', 1.0),)
'peeking'	(('VBG', 1.0),)
'peelback'	(('JJ', 1.0),)
'peeled'	(('VBN', 1.0),)
'peep'	(('NN', 1.0),)
'peer'	(('VB', 0.3333), ('VBP', 0.3333), ('NN', 0.3333))
'peering'	(('VBG', 1.0),)
'peerless'	(('JJ', 1.0),)
'peers'	(('NNS', 0.75), ('VBZ', 0.25))
'peg'	(('VBP', 0.5), ('NNP', 0.5))
'pegasus'	(('NNP', 1.0),)
'pegasys'	(('NNP', 1.0),)
'pegged'	(('VBN', 0.5556), ('VBD', 0.4444))
'pegging'	(('VBG', 1.0),)
'pegs'	(('VBZ', 1.0),)
'pei'	(('NNP', 1.0),)
'pejorative'	(('JJ', 1.0),)
'peladeau'	(('NNP', 1.0),)
'pell'	(('NNP', 1.0),)
'peltz'	(('NNP', 1.0),)
'pelvic'	(('JJ', 1.0),)
'pemberton'	(('NNP', 1.0),)
'pemex'	(('NNP', 1.0),)
'pen'	(('NN', 1.0),)
'pen-and-pencil'	(('JJ', 1.0),)
'penalize'	(('VB', 1.0),)
'penalized'	(('VBN', 1.0),)
'penalizes'	(('VBZ', 1.0),)
'penalties'	(('NNS', 1.0),)
'penalty'	(('NN', 1.0),)
'penang'	(('NNP', 1.0),)
'pence'	(('NN', 0.625), ('NNS', 0.3594), ('NNP', 0.0156))
'penchant'	(('NN', 1.0),)
'pencil'	(('NN', 0.6364), ('NNP', 0.3636))
'pencils'	(('NNS', 1.0),)
'pending'	(('VBG', 0.8923), ('JJ', 0.0769), ('IN', 0.0154), ('NNP', 0.0154))
'penetrate'	(('VB', 1.0),)
'penetrated'	(('VBN', 1.0),)
'penetrating'	(('VBG', 1.0),)
'penh'	(('NNP', 1.0),)
'peninsula'	(('NN', 0.5), ('NNP', 0.5))
'penises'	(('NNS', 1.0),)
'penn'	(('NNP', 1.0),)
'pennant'	(('NN', 1.0),)
'penned'	(('VBN', 1.0),)
'penney'	(('NNP', 0.9286), ('NN', 0.0714))
'pennies'	(('NNS', 1.0),)
'pennsylvania'	(('NNP', 1.0),)
'pennsylvania-based'	(('JJ', 1.0),)
'penny'	(('NN', 1.0),)
'penny-ante'	(('JJ', 1.0),)
'penny-brokerage'	(('JJ', 1.0),)
'penny-pinching'	(('JJ', 1.0),)
'penny-stock'	(('JJ', 0.6667), ('NN', 0.3333))
'penny-stockbroker'	(('NN', 1.0),)
'penny-wise'	(('JJ', 1.0),)
'pennzoil'	(('NNP', 1.0),)
'pens'	(('NNS', 1.0),)
'pensacola'	(('NNP', 1.0),)
'pension'	(('NN', 0.9286), ('NNP', 0.0714))
'pension-fund'	(('NN', 0.6667), ('JJ', 0.3333))
'pension-insurance'	(('JJ', 1.0),)
'pensions'	(('NNS', 1.0),)
'pent-up'	(('JJ', 1.0),)
'pentagon'	(('NNP', 1.0),)
'pentagonese'	(('NNP', 1.0),)
'pentameter'	(('NN', 1.0),)
'penthouse'	(('NN', 1.0),)
'people'	(('NNS', 0.9856), ('NNPS', 0.0078), ('NNP', 0.0052), ('NN', 0.0013))
'people-oriented'	(('JJ', 1.0),)
'peoples'	(('NNS', 0.5), ('NNPS', 0.375), ('NNP', 0.125))
'peoria'	(('NNP', 1.0),)
'pep'	(('NN', 1.0),)
'pepper'	(('NNP', 0.75), ('NN', 0.25))
'pepperidge'	(('NNP', 1.0),)
'peppy'	(('JJ', 1.0),)
'pepsi'	(('NNP', 0.8333), ('NNS', 0.1667))
'pepsi-cola'	(('NNP', 1.0),)
'pepsico'	(('NNP', 1.0),)
'pepsicola'	(('NNP', 1.0),)
'per'	(('IN', 0.9604), ('FW', 0.0396))
'per-capita'	(('JJ', 1.0),)
'per-share'	(('JJ', 0.9808), ('NN', 0.0192))
'per-store'	(('JJ', 1.0),)
'per-subscriber'	(('NN', 1.0),)
'perceive'	(('VBP', 1.0),)
'perceived'	(('VBN', 0.9091), ('VBD', 0.0909))
'perceives'	(('VBZ', 1.0),)
'percent'	(('NN', 1.0),)
'percentage'	(('NN', 1.0),)
'percentages'	(('NNS', 1.0),)
'percenter'	(('NN', 1.0),)
'perception'	(('NN', 1.0),)
'perceptions'	(('NNS', 1.0),)
'perceptiveness'	(('NN', 1.0),)
'perch'	(('NN', 1.0),)
'perched'	(('VBN', 1.0),)
'perches'	(('NNP', 1.0),)
'perchlorate'	(('NN', 1.0),)
'percival'	(('NNP', 1.0),)
'percussion'	(('NNP', 1.0),)
'percy'	(('NNP', 1.0),)
'pere'	(('NNP', 1.0),)
'perella'	(('NNP', 1.0),)
'perelman'	(('NNP', 1.0),)
'peremptory'	(('JJ', 1.0),)
'perennial'	(('JJ', 1.0),)
'perennially'	(('RB', 1.0),)
'peres'	(('NNP', 1.0),)
'perestroika'	(('FW', 0.9333), ('NN', 0.0667))
'perestrokia'	(('NN', 1.0),)
'perez'	(('NNP', 1.0),)
'perfect'	(('JJ', 0.9333), ('NNP', 0.0667))
'perfected'	(('VBN', 1.0),)
'perfection'	(('NN', 1.0),)
'perfectly'	(('RB', 1.0),)
'perforated'	(('JJ', 1.0),)
'perform'	(('VB', 0.8571), ('VBP', 0.1429))
'performance'	(('NN', 0.9844), ('NNP', 0.0156))
'performance-related'	(('JJ', 1.0),)
'performances'	(('NNS', 0.9), ('NNPS', 0.1))
'performed'	(('VBN', 0.619), ('VBD', 0.381))
'performer'	(('NN', 0.6667), ('JJ', 0.3333))
'performers'	(('NNS', 1.0),)
'performing'	(('VBG', 1.0),)
'performing-arts'	(('NNS', 1.0),)
'performs'	(('VBZ', 1.0),)
'perfume'	(('NN', 1.0),)
'perfumed'	(('JJ', 1.0),)
'perhaps'	(('RB', 1.0),)
'peril'	(('NN', 1.0),)
'perilous'	(('JJ', 1.0),)
'perilously'	(('RB', 1.0),)
'perils'	(('NNS', 1.0),)
'perimeter'	(('NN', 0.5), ('NNP', 0.5))
'period'	(('NN', 1.0),)
'periodic'	(('JJ', 1.0),)
'periodically'	(('RB', 1.0),)
'periodicals'	(('NNS', 1.0),)
'periods'	(('NNS', 1.0),)
'peripheral'	(('JJ', 1.0),)
'peripherals'	(('NNPS', 0.5), ('NNS', 0.5))
'periphery'	(('NN', 1.0),)
'perishables'	(('NNS', 1.0),)
'peritoneal'	(('JJ', 1.0),)
'perjury'	(('NN', 1.0),)
'perk'	(('JJ', 0.5), ('NNP', 0.5))
'perked'	(('VBD', 0.5), ('VBN', 0.5))
'perkins'	(('NNP', 1.0),)
'perks'	(('NNS', 1.0),)
'perlman'	(('NNP', 1.0),)
'permanence'	(('NN', 1.0),)
'permanent'	(('JJ', 1.0),)
'permanent-insurance'	(('JJ', 1.0),)
'permanente'	(('NNP', 1.0),)
'permanently'	(('RB', 1.0),)
'permeable'	(('JJ', 1.0),)
'permeated'	(('VBD', 1.0),)
'permeating'	(('VBG', 1.0),)
'permian'	(('NNP', 1.0),)
'permissible'	(('JJ', 0.8), ('NN', 0.2))
'permission'	(('NN', 1.0),)
'permissive'	(('JJ', 1.0),)
'permit'	(('VB', 0.8261), ('VBP', 0.1304), ('NN', 0.0435))
'permits'	(('VBZ', 0.6154), ('NNS', 0.3846))
'permitted'	(('VBN', 0.75), ('VBD', 0.25))
'permitting'	(('VBG', 1.0),)
'perozo'	(('NNP', 1.0),)
'perpetrated'	(('VBN', 1.0),)
'perpetual'	(('JJ', 1.0),)
'perpetuate'	(('VB', 0.5), ('VBP', 0.5))
'perpetuating'	(('VBG', 1.0),)
'perplexing'	(('JJ', 1.0),)
'perrier'	(('NNP', 1.0),)
'perrin'	(('NNP', 1.0),)
'perritt'	(('NNP', 1.0),)
'perry'	(('NNP', 1.0),)
'persecuted'	(('VBN', 1.0),)
'persecuting'	(('VBG', 1.0),)
'persecution'	(('NN', 1.0),)
'pershare'	(('JJ', 1.0),)
'persian'	(('NNP', 0.875), ('JJ', 0.125))
'persist'	(('VB', 0.8), ('VBP', 0.2))
'persisted'	(('VBD', 1.0),)
'persistence'	(('NN', 1.0),)
'persistency'	(('NN', 1.0),)
'persistent'	(('JJ', 1.0),)
'persisting'	(('VBG', 1.0),)
'persists'	(('VBZ', 1.0),)
'person'	(('NN', 1.0),)
'persona'	(('NN', 1.0),)
'personal'	(('JJ', 0.9367), ('NNP', 0.0443), ('NN', 0.019))
'personal-care'	(('JJ', 0.8), ('NN', 0.2))
'personal-computer'	(('NN', 1.0),)
'personal-income'	(('JJ', 1.0),)
'personal-injury'	(('JJ', 0.5714), ('NN', 0.4286))
'personal-property'	(('NN', 1.0),)
'personalities'	(('NNS', 1.0),)
'personality'	(('NN', 1.0),)
'personalized'	(('VBN', 0.6667), ('JJ', 0.3333))
'personally'	(('RB', 1.0),)
'personification'	(('NN', 1.0),)
'personnel'	(('NNS', 0.8889), ('NNP', 0.0667), ('NN', 0.0222), ('JJ', 0.0222))
'persons'	(('NNS', 1.0),)
'perspective'	(('NN', 0.5217), ('NNP', 0.4783))
'persuade'	(('VB', 1.0),)
'persuaded'	(('VBD', 0.5455), ('VBN', 0.4545))
'persuades'	(('VBZ', 1.0),)
'persuading'	(('VBG', 1.0),)
'persuasively'	(('RB', 1.0),)
'perth'	(('NNP', 1.0),)
'pertinent'	(('JJ', 1.0),)
'pertschuk'	(('NNP', 1.0),)
'perturbed'	(('VBD', 1.0),)
'pertussis'	(('NN', 1.0),)
'peru'	(('NNP', 1.0),)
'peruse'	(('VB', 0.5), ('VBP', 0.5))
'peruvian'	(('JJ', 1.0),)
'pervasive'	(('JJ', 1.0),)
'perverse'	(('JJ', 1.0),)
'perversion'	(('NN', 1.0),)
'perversities'	(('NNS', 1.0),)
'pervert'	(('NN', 1.0),)
'pesatas'	(('NNS', 1.0),)
'pesetas'	(('NNS', 1.0),)
'peso'	(('NN', 1.0),)
'pesos'	(('NNS', 1.0),)
'pessimism'	(('NN', 1.0),)
'pessimistic'	(('JJ', 1.0),)
'pessimists'	(('NNS', 1.0),)
'pest-control'	(('JJ', 1.0),)
'pestered'	(('VBN', 1.0),)
'pesticide'	(('NN', 1.0),)
'pesticides'	(('NNS', 1.0),)
'pet'	(('JJ', 0.5714), ('NN', 0.2857), ('NNP', 0.1429))
'petaluma'	(('NNP', 1.0),)
'petco'	(('NNP', 1.0),)
'pete'	(('NNP', 1.0),)
'peter'	(('NNP', 1.0),)
'peterborough'	(('NNP', 1.0),)
'peterpaul'	(('NNP', 1.0),)
'peters'	(('NNP', 1.0),)
'petersburg'	(('NNP', 1.0),)
'petersen'	(('NNP', 1.0),)
'peterson'	(('NNP', 1.0),)
'petit'	(('NNP', 1.0),)
'petite'	(('JJ', 1.0),)
'petition'	(('NN', 0.9), ('VB', 0.1))
'petitions'	(('NNS', 1.0),)
'petre'	(('NNP', 1.0),)
'petrie'	(('NNP', 1.0),)
'petrified'	(('JJ', 1.0),)
'petro'	(('NNP', 1.0),)
'petrochemical'	(('NN', 0.75), ('NNP', 0.25))
'petrochemicals'	(('NNS', 1.0),)
'petrocorp'	(('NNP', 1.0),)
'petrofina'	(('NNP', 1.0),)
'petrolane'	(('NNP', 1.0),)
'petroleos'	(('NNP', 1.0),)
'petroleum'	(('NNP', 0.6269), ('NN', 0.3731))
'petroleum-related'	(('JJ', 1.0),)
'petroliam'	(('NNP', 1.0),)
'petronas'	(('NNP', 1.0),)
'petrovich'	(('NNP', 1.0),)
'petruzzi'	(('NNP', 1.0),)
'pets'	(('NNS', 1.0),)
'pettee'	(('NNP', 1.0),)
'pettiness'	(('NN', 1.0),)
'pettit'	(('NNP', 1.0),)
'petty'	(('JJ', 0.6667), ('NNP', 0.3333))
'peugeot'	(('NNP', 1.0),)
'peyrelongue'	(('NNP', 1.0),)
'pfau'	(('NNP', 1.0),)
'pfeiffer'	(('NNP', 1.0),)
'pfiefer'	(('NNP', 1.0),)
'pfizer'	(('NNP', 1.0),)
'pg&e'	(('NNP', 1.0),)
'pg-13'	(('NN', 1.0),)
'pgm'	(('NNP', 1.0),)
'ph.'	(('NNP', 1.0),)
'phalanx'	(('NN', 1.0),)
'phantom'	(('JJ', 1.0),)
'pharmaceutical'	(('JJ', 0.7111), ('NNP', 0.2444), ('NN', 0.0444))
'pharmaceuticals'	(('NNS', 0.5714), ('NNP', 0.2381), ('NNPS', 0.1905))
'pharmacies'	(('NNS', 1.0),)
'pharmacists'	(('NNS', 1.0),)
'pharmics'	(('NNP', 1.0),)
'phase'	(('NN', 0.9412), ('VB', 0.0588))
'phased'	(('VBN', 0.875), ('VBD', 0.125))
'phases'	(('NNS', 1.0),)
'phasing'	(('VBG', 1.0),)
'phelan'	(('NNP', 0.9655), ('NN', 0.0345))
'phelps'	(('NNP', 1.0),)
'phenix-transmission'	(('NNP', 1.0),)
'phenomena'	(('NNS', 1.0),)
'phenomenal'	(('JJ', 1.0),)
'phenomenon'	(('NN', 1.0),)
'pherwani'	(('NNP', 1.0),)
'phibro'	(('NNP', 1.0),)
'phil'	(('NNP', 1.0),)
'philadelphia'	(('NNP', 1.0),)
'philadelphia-based'	(('JJ', 1.0),)
'philanthropic'	(('NNP', 1.0),)
'philanthropist'	(('NN', 1.0),)
'philinte'	(('NNP', 1.0),)
'philip'	(('NNP', 1.0),)
'philippe'	(('NNP', 1.0),)
'philippine'	(('JJ', 0.6923), ('NNP', 0.3077))
'philippine-studies'	(('NN', 1.0),)
'philippines'	(('NNPS', 0.6842), ('NNP', 0.3158))
'philips'	(('NNP', 1.0),)
'phillip'	(('NNP', 1.0),)
'phillips'	(('NNP', 0.9608), ('NNS', 0.0392))
'philo'	(('NNP', 1.0),)
'philosophers'	(('NNS', 1.0),)
'philosophic'	(('JJ', 1.0),)
'philosophical'	(('JJ', 1.0),)
'philosophies'	(('NNS', 1.0),)
'philosophy'	(('NN', 1.0),)
'phineas'	(('NNP', 1.0),)
'phnom'	(('NNP', 1.0),)
'phoenix'	(('NNP', 1.0),)
'phoenix-based'	(('JJ', 1.0),)
'phone'	(('NN', 0.9855), ('VBP', 0.0145))
'phone-company'	(('NN', 1.0),)
'phonebook'	(('NN', 1.0),)
'phoned'	(('VBD', 0.5), ('VBN', 0.5))
'phones'	(('NNS', 1.0),)
'phoney'	(('JJ', 1.0),)
'phoning'	(('VBG', 1.0),)
'phony'	(('JJ', 0.8571), ('NN', 0.1429))
'photo'	(('NN', 0.6667), ('NNP', 0.2222), ('JJ', 0.1111))
'photocopiers'	(('NNS', 1.0),)
'photofinishing'	(('NN', 1.0),)
'photograph'	(('NN', 1.0),)
'photographic'	(('JJ', 1.0),)
'photographing'	(('VBG', 1.0),)
'photographs'	(('NNS', 0.8), ('VBZ', 0.2))
'photography'	(('NN', 1.0),)
'photonics'	(('NNP', 1.0),)
'photoprotective'	(('NNP', 1.0),)
'photos'	(('NNS', 1.0),)
'photosynthesis'	(('NN', 1.0),)
'phrase'	(('NN', 1.0),)
'phrases'	(('NNS', 1.0),)
'phrasing'	(('NN', 1.0),)
'phyllis'	(('NNP', 1.0),)
'physical'	(('JJ', 0.875), ('NN', 0.0625), ('NNP', 0.0625))
'physically'	(('RB', 1.0),)
'physician'	(('NN', 1.0),)
'physician-executive'	(('JJ', 1.0),)
'physicians'	(('NNS', 0.8571), ('NNP', 0.1429))
'physicist'	(('NN', 1.0),)
'physics'	(('NNS', 0.5), ('NN', 0.25), ('NNP', 0.25))
'physiology'	(('NNP', 1.0),)
'pi'	(('NN', 1.0),)
'pianist'	(('NN', 1.0),)
'pianist\\/bassoonist\\/composer'	(('NN', 1.0),)
'pianistic'	(('JJ', 1.0),)
'piano'	(('NN', 1.0),)
'pianos'	(('NNS', 1.0),)
'piasters'	(('NNS', 1.0),)
'pic'	(('NNP', 1.0),)
'picasso'	(('NNP', 1.0),)
'picassos'	(('NNPS', 1.0),)
'piccolino'	(('NNP', 1.0),)
'pichia'	(('NN', 1.0),)
'pick'	(('VB', 0.85), ('VBP', 0.075), ('NN', 0.075))
'picked'	(('VBD', 0.5909), ('VBN', 0.4091))
'pickens'	(('NNP', 1.0),)
'pickering'	(('NNP', 1.0),)
'pickers'	(('NNS', 1.0),)
'picket'	(('NN', 1.0),)
'picketing'	(('NN', 1.0),)
'pickin'	(('VBG', 1.0),)
'picking'	(('VBG', 0.8333), ('NN', 0.1667))
'pickles'	(('NNS', 1.0),)
'picks'	(('NNS', 0.5455), ('VBZ', 0.4545))
'pickup'	(('NN', 1.0),)
'picky'	(('JJ', 1.0),)
'picnic'	(('NN', 1.0),)
'pico'	(('NN', 1.0),)
'picocassette'	(('NN', 1.0),)
'picop'	(('NNP', 1.0),)
'picoult'	(('NNP', 1.0),)
'picture'	(('NN', 0.9302), ('NNP', 0.0465), ('VBP', 0.0233))
'picture-postcard'	(('NN', 1.0),)
'picture-taking'	(('NN', 1.0),)
'pictured'	(('VBN', 1.0),)
'pictures'	(('NNS', 0.4634), ('NNP', 0.3415), ('NNPS', 0.1707), ('VBZ', 0.0244))
'picturesquely'	(('RB', 1.0),)
'picturing'	(('VBG', 1.0),)
'picus'	(('NNP', 1.0),)
'pie'	(('NN', 0.8571), ('NNP', 0.1429))
'pie-in-the-sky'	(('NN', 1.0),)
'piece'	(('NN', 0.9792), ('VB', 0.0208))
'pieced'	(('VBN', 1.0),)
'piecemeal'	(('RB', 1.0),)
'pieces'	(('NNS', 0.9615), ('NNP', 0.0385))
'piedmont'	(('NNP', 1.0),)
'pier'	(('NN', 1.0),)
'pierce'	(('NNP', 1.0),)
'pierluigi'	(('NNP', 1.0),)
'pierre'	(('NNP', 1.0),)
'pierre-karl'	(('NNP', 1.0),)
'piers'	(('NNS', 0.75), ('NNP', 0.25))
'pies'	(('NNS', 1.0),)
'pieter'	(('NNP', 1.0),)
'pig'	(('NN', 1.0),)
'piggybacking'	(('VBG', 1.0),)
'piglet'	(('NN', 1.0),)
'piglets'	(('NNS', 1.0),)
'pigment'	(('NN', 1.0),)
'pignatelli'	(('NNP', 1.0),)
'pigs'	(('NNS', 1.0),)
'pigsty'	(('NN', 1.0),)
'pikaia'	(('NNP', 1.0),)
'piker'	(('NN', 1.0),)
'pile'	(('NN', 0.5556), ('VB', 0.3333), ('VBP', 0.1111))
'piled'	(('VBD', 0.6667), ('VBN', 0.3333))
'piles'	(('NNS', 0.75), ('NN', 0.25))
'pileup'	(('NN', 1.0),)
'pilevsky'	(('NNP', 1.0),)
'pilferage'	(('NN', 1.0),)
'pilgrim'	(('NNP', 1.0),)
'pilgrimage'	(('NN', 1.0),)
'piling'	(('VBG', 1.0),)
'pilings'	(('NNS', 1.0),)
'pilipino'	(('NN', 1.0),)
'pill'	(('NN', 1.0),)
'pillar'	(('NN', 1.0),)
'pillars'	(('NNS', 1.0),)
'pilloried'	(('VBN', 1.0),)
'pillorying'	(('VBG', 1.0),)
'pillowcases'	(('NNS', 1.0),)
'pillows'	(('NNS', 1.0),)
'pills'	(('NNS', 1.0),)
'pillsbury'	(('NNP', 1.0),)
'pilot'	(('NN', 0.95), ('JJ', 0.05))
'pilot-management'	(('JJ', 1.0),)
'pilot-seniority'	(('NN', 1.0),)
'pilote'	(('FW', 1.0),)
'pilots'	(('NNS', 0.9821), ('NNPS', 0.0089), ('NNP', 0.0089))
'pilson'	(('NNP', 1.0),)
'pilsudski'	(('NNP', 1.0),)
'pimlott'	(('NNP', 1.0),)
'pimp'	(('NN', 1.0),)
'pimps'	(('NNS', 1.0),)
'pin'	(('VB', 0.75), ('NN', 0.25))
'pin-pointed'	(('VBN', 1.0),)
'pina'	(('NNP', 1.0),)
'pinball'	(('NN', 1.0),)
'pinch'	(('NN', 0.6667), ('VB', 0.3333))
'pinching'	(('VBG', 1.0),)
'pincus'	(('NNP', 1.0),)
'pine'	(('NNP', 1.0),)
'pineapple'	(('NN', 1.0),)
'ping'	(('VB', 0.5), ('NN', 0.5))
'pinging'	(('VBG', 1.0),)
'pinheaded'	(('JJ', 1.0),)
'pinick'	(('NNP', 1.0),)
'pink'	(('JJ', 1.0),)
'pinkerton'	(('NNP', 1.0),)
'pinky'	(('NNP', 1.0),)
'pinnacle'	(('NNP', 1.0),)
'pinned'	(('VBN', 1.0),)
'pinning'	(('VBG', 1.0),)
'pinola'	(('NNP', 1.0),)
'pinpoint'	(('VB', 0.625), ('NNP', 0.375))
'pinpointed'	(('JJ', 0.5), ('VBN', 0.5))
'pins'	(('NNS', 1.0),)
'pinstripe-suited'	(('JJ', 1.0),)
'pinter'	(('NNP', 1.0),)
'pints'	(('NNS', 1.0),)
'pioneer'	(('NNP', 0.8333), ('NN', 0.1667))
'pioneered'	(('VBD', 1.0),)
'pioneering'	(('JJ', 1.0),)
'pioneers'	(('NNS', 1.0),)
'pious'	(('JJ', 1.0),)
'pipe'	(('NN', 0.6), ('NNP', 0.4))
'piped'	(('VBD', 0.5), ('VBN', 0.5))
'pipeline'	(('NN', 0.8913), ('NNP', 0.1087))
'pipelines'	(('NNS', 0.6364), ('NNP', 0.2727), ('NNPS', 0.0909))
'piper'	(('NNP', 1.0),)
